title,label,pred_LinearSVC,pred_LogisticRegression,pred_RandomForest
Từ cơ hội đến vị thế: Việt Nam cần bứt phá trong chuỗi giá trị bán dẫn toàn cầu - baochinhphu.vn,MARKET SIGNALS,MARKET SIGNALS,MARKET SIGNALS,MARKET SIGNALS
"Mỹ càng làm khó, quốc gia này lại càng mạnh: Sở hữu 3/20 nhà sản xuất chip bán dẫn hàng đầu thế giới, doanh thu gần 50 tỷ USD - CafeF",MARKET SIGNALS,MARKET SIGNALS,MARKET SIGNALS,MARKET SIGNALS
Hàn Quốc thông qua dự thảo luật đặc biệt hỗ trợ ngành chip bán dẫn - Báo Gia Lai điện tử,MARKET SIGNALS,MARKET SIGNALS,MARKET SIGNALS,MARKET SIGNALS
FPT mở nhà máy kiểm thử và đóng gói tiên tiến chip bán dẫn - Truyền hình Thanh Hoá,MARKET SIGNALS,MARKET SIGNALS,MARKET SIGNALS,MARKET SIGNALS
Việt Nam sẽ bước vào nhóm số ít quốc gia sở hữu năng lực chế tạo chip bán dẫn - Báo Nhân Dân điện tử,MARKET SIGNALS,MARKET SIGNALS,MARKET SIGNALS,MARKET SIGNALS
Tổng Bí thư dự khởi công nhà máy chip bán dẫn đầu tiên tại Việt Nam - Thanh Niên,MARKET SIGNALS,MARKET SIGNALS,MARKET SIGNALS,MARKET SIGNALS
"FPT thành lập nhà máy kiểm thử, đóng gói chip bán dẫn đầu tiên tại Việt Nam - Báo Thanh Hóa",MARKET SIGNALS,MARKET SIGNALS,MARKET SIGNALS,MARKET SIGNALS
"Tổng Bí thư, Thủ tướng Chính phủ dự lễ khởi công nhà máy chế tạo chip bán dẫn đầu tiên tại Việt Nam - baochinhphu.vn",MARKET SIGNALS,MARKET SIGNALS,MARKET SIGNALS,MARKET SIGNALS
Tổng Bí thư Tô Lâm dự khởi công xây dựng nhà máy chế tạo chip bán dẫn đầu tiên tại Việt Nam - Tuổi Trẻ,MARKET SIGNALS,MARKET SIGNALS,MARKET SIGNALS,MARKET SIGNALS
FPT và Viettel liên minh làm chủ công nghệ chip bán dẫn - Báo Tuyên Quang điện tử,MARKET SIGNALS,MARKET SIGNALS,MARKET SIGNALS,MARKET SIGNALS
Mảnh ghép cuối của giấc mơ bán dẫn Việt - Báo Đại Đoàn Kết,MARKET SIGNALS,MARKET SIGNALS,MARKET SIGNALS,MARKET SIGNALS
"Nhà máy chế tạo chip bán dẫn, Nghị quyết 79 và kỳ vọng về 'sếu đầu đàn' - VnBusiness",MARKET SIGNALS,MARKET SIGNALS,MARKET SIGNALS,MARKET SIGNALS
"Viettel quy tụ 50 nhân sự tinh hoa bán dẫn, 70% là tiến sĩ từ nước ngoài - TẠP CHÍ ĐIỆN TỬ VIETTIMES",MARKET SIGNALS,MARKET SIGNALS,MARKET SIGNALS,MARKET SIGNALS
Thông tin đầu tiên về Nhà máy chế tạo chip bán dẫn của Việt Nam được tiết lộ - Genk,MARKET SIGNALS,MARKET SIGNALS,MARKET SIGNALS,MARKET SIGNALS
"Hôm nay, nhà máy chế tạo chip bán dẫn đầu tiên của Việt Nam có bước tiến quan trọng - CafeF",MARKET SIGNALS,MARKET SIGNALS,MARKET SIGNALS,MARKET SIGNALS
"FPT ký hợp tác toàn diện với Viettel và các tập đoàn hàng đầu Nhật, Hàn trong mảng chip bán dẫn - Chungta",MARKET SIGNALS,MARKET SIGNALS,MARKET SIGNALS,MARKET SIGNALS
Tập đoàn bán dẫn hàng đầu thế giới muốn mở rộng chuỗi cung ứng tại Việt Nam - VnExpress,MARKET SIGNALS,MARKET SIGNALS,MARKET SIGNALS,MARKET SIGNALS
"FPT lập nhà máy kiểm thử, đóng gói chip bán dẫn đầu tiên do người Việt làm chủ - Genk",MARKET SIGNALS,MARKET SIGNALS,MARKET SIGNALS,MARKET SIGNALS
Bộ KH&CN: Việt Nam đang từng bước đặt nền móng làm chủ công nghệ bán dẫn - VOV,MARKET SIGNALS,MARKET SIGNALS,MARKET SIGNALS,MARKET SIGNALS
"Tập đoàn có lãi gần 2,2 tỷ USD khởi công nhà máy chế tạo chip bán dẫn đầu tiên tại Việt Nam - CafeF",MARKET SIGNALS,MARKET SIGNALS,MARKET SIGNALS,MARKET SIGNALS
Một trường cao đẳng mở ngành công nghệ kỹ thuật bán dẫn và vi mạch - Tuổi Trẻ,MARKET SIGNALS,MARKET SIGNALS,MARKET SIGNALS,MARKET SIGNALS
"Điểm tuần: Việt Nam khởi công nhà máy chip bán dẫn, công viên công nghệ số - Báo Dân trí",MARKET SIGNALS,MARKET SIGNALS,MARKET SIGNALS,MARKET SIGNALS
"Quốc hội Hàn Quốc thông qua luật đặc biệt hỗ trợ ngành chip bán dẫn - Báo và Phát thanh, Truyền hình Bắc Ninh",MARKET SIGNALS,MARKET SIGNALS,MARKET SIGNALS,MARKET SIGNALS
FPT công bố thành lập Nhà máy Kiểm thử và đóng gói tiên tiến chip bán dẫn đặt tại Bắc Ninh - thuonghieucongluan.com.vn,MARKET SIGNALS,MARKET SIGNALS,MARKET SIGNALS,MARKET SIGNALS
Đại học Huế xúc tiến đào tạo bán dẫn: Định hướng chiến lược cho giai đoạn mới - Giáo dục Việt Nam,MARKET SIGNALS,MARKET SIGNALS,MARKET SIGNALS,MARKET SIGNALS
Thành lập Trung tâm quốc gia hỗ trợ sản xuất thử chip bán dẫn - baochinhphu.vn,MARKET SIGNALS,MARKET SIGNALS,MARKET SIGNALS,MARKET SIGNALS
FPT thành lập nhà máy kiểm thử và đóng gói chip bán dẫn - Báo Dân trí,MARKET SIGNALS,MARKET SIGNALS,MARKET SIGNALS,MARKET SIGNALS
'Mỏ vàng' việc làm ngành bán dẫn ở Đài Loan chờ sinh viên Việt - VnExpress,MARKET SIGNALS,MARKET SIGNALS,MARKET SIGNALS,MARKET SIGNALS
"FPT thành lập nhà máy kiểm thử, đóng gói chip bán dẫn đầu tiên tại Việt Nam - VTV.vn",MARKET SIGNALS,MARKET SIGNALS,MARKET SIGNALS,MARKET SIGNALS
Từ cơ hội đến vị thế: Việt Nam cần bứt phá trong chuỗi giá trị bán dẫn toàn cầu - CafeF,MARKET SIGNALS,MARKET SIGNALS,MARKET SIGNALS,MARKET SIGNALS
Viên gạch đầu tiên xây dựng ngành công nghiệp bán dẫn tự chủ - Tin nhanh chứng khoán,MARKET SIGNALS,MARKET SIGNALS,MARKET SIGNALS,MARKET SIGNALS
Tổng Bí thư Tô Lâm dự lễ khởi công Nhà máy Chế tạo chip bán dẫn công nghệ cao - Báo Nhân Dân điện tử,MARKET SIGNALS,MARKET SIGNALS,MARKET SIGNALS,MARKET SIGNALS
Thủ tướng: Việt Nam phấn đấu có nhà máy chip bán dẫn đầu tiên trong năm 2026 - baochinhphu.vn,MARKET SIGNALS,MARKET SIGNALS,MARKET SIGNALS,MARKET SIGNALS
Khởi công nhà máy chip bán dẫn đầu tiên tại Việt Nam - Tạp chí Kinh tế Sài Gòn,MARKET SIGNALS,MARKET SIGNALS,MARKET SIGNALS,MARKET SIGNALS
FPT lập Nhà máy Kiểm thử và Đóng gói tiên tiến chip bán dẫn - Chungta,MARKET SIGNALS,MARKET SIGNALS,MARKET SIGNALS,MARKET SIGNALS
"Ông Trương Gia Bình: ""Nếu tính cả người Việt khắp nơi trên TG, chúng ta là 1 thế lực trong ngành bán dẫn"" - CafeF",MARKET SIGNALS,MARKET SIGNALS,MARKET SIGNALS,MARKET SIGNALS
Khởi công nhà máy chế tạo chip bán dẫn đầu tiên tại Việt Nam - VnBusiness,MARKET SIGNALS,MARKET SIGNALS,MARKET SIGNALS,MARKET SIGNALS
Hình dung Cuộc cách mạng Bán dẫn Thế hệ Mới của Đông Nam Á - Hitachi Global,SOLUTIONS & USE CASES,DEEP DIVE,MARKET SIGNALS,MARKET SIGNALS
Hai điểm sáng của công nghiệp CNTT ngay đầu năm 2026: Đặt nền móng làm chủ công nghệ bán dẫn - Giáo dục Thủ đô,MARKET SIGNALS,MARKET SIGNALS,MARKET SIGNALS,MARKET SIGNALS
Kiến tạo hệ sinh thái bán dẫn - Báo Nhân Dân điện tử,MARKET SIGNALS,MARKET SIGNALS,MARKET SIGNALS,MARKET SIGNALS
Khởi công nhà máy chế tạo chip bán dẫn công nghệ cao đầu tiên của Việt Nam - Báo Công an Thành Phố Hồ Chí Minh,MARKET SIGNALS,MARKET SIGNALS,MARKET SIGNALS,MARKET SIGNALS
Khởi công Nhà máy chế tạo chip bán dẫn công nghệ cao đầu tiên của Việt Nam - media.chinhphu.vn,MARKET SIGNALS,MARKET SIGNALS,MARKET SIGNALS,NOISE
Sản xuất chip bán dẫn và tiêu chuẩn 'trên trời' phía sau nhà máy của Viettel - Viettel Family,MARKET SIGNALS,MARKET SIGNALS,MARKET SIGNALS,NOISE
Thủ tướng: Nhà máy chế tạo chip bán dẫn công nghệ cao là mắt xích then chốt mà Việt Nam còn thiếu - Báo Đồng Tháp,MARKET SIGNALS,MARKET SIGNALS,MARKET SIGNALS,MARKET SIGNALS
Khởi công nhà máy chế tạo chip bán dẫn đầu tiên tại Việt Nam - Truyền hình Thanh Hoá,MARKET SIGNALS,MARKET SIGNALS,MARKET SIGNALS,MARKET SIGNALS
Viettel khởi công xây dựng nhà máy chế tạo chip bán dẫn đầu tiên tại Việt Nam - Tạp chí Công Thương,MARKET SIGNALS,MARKET SIGNALS,MARKET SIGNALS,MARKET SIGNALS
Viettel khởi công xây dựng nhà máy chế tạo chip bán dẫn đầu tiên tại Việt Nam - Báo Thanh Hóa,MARKET SIGNALS,MARKET SIGNALS,MARKET SIGNALS,MARKET SIGNALS
Hoàn thiện hệ sinh thái bán dẫn quốc gia và làm chủ công nghệ lõi - Báo Công an Nhân dân điện tử - Công an Nhân dân,MARKET SIGNALS,MARKET SIGNALS,MARKET SIGNALS,MARKET SIGNALS
"Lần đầu Việt Nam có nhà máy chế tạo chip, mở ra năng lực sản xuất bán dẫn trong nước - TẠP CHÍ ĐIỆN TỬ VIETTIMES",MARKET SIGNALS,MARKET SIGNALS,MARKET SIGNALS,MARKET SIGNALS
Khởi công nhà máy chế tạo chip bán dẫn đầu tiên tại Việt Nam - CafeF,MARKET SIGNALS,MARKET SIGNALS,MARKET SIGNALS,MARKET SIGNALS
"[Video] Xây dựng nhà máy chế tạo chip, hoàn thiện chuỗi giá trị bán dẫn tại Việt Nam - Báo Nhân Dân điện tử",MARKET SIGNALS,MARKET SIGNALS,MARKET SIGNALS,MARKET SIGNALS
"Thủ tướng: Chế tạo chip bán dẫn, Việt Nam chọn con đường khó nhưng bền vững - Báo điện tử Tiền Phong",MARKET SIGNALS,MARKET SIGNALS,MARKET SIGNALS,MARKET SIGNALS
Nhà máy chế tạo chip bán dẫn công nghệ cao - mắt xích then chốt của Việt Nam trong chuỗi giá trị bán dẫn toàn cầu - Tạp chí Công Thương,MARKET SIGNALS,MARKET SIGNALS,MARKET SIGNALS,MARKET SIGNALS
"Thủ tướng: Khởi công nhà máy chip, hoàn thiện chuỗi giá trị bán dẫn quốc gia - Báo Đấu thầu",MARKET SIGNALS,MARKET SIGNALS,MARKET SIGNALS,MARKET SIGNALS
CEO Nvidia lên tiếng về tin đồn bất hòa với OpenAI - VnExpress,MARKET SIGNALS,MARKET SIGNALS,MARKET SIGNALS,MARKET SIGNALS
CEO Nvidia xác nhận sẽ đầu tư vào OpenAI quy mô dưới 100 tỷ USD - congly.vn,MARKET SIGNALS,MARKET SIGNALS,MARKET SIGNALS,MARKET SIGNALS
Google đưa Gemini “thâm nhập sâu” vào Chrome: Trình duyệt trở thành trung tâm AI cá nhân - VnEconomy,MARKET SIGNALS,MARKET SIGNALS,MARKET SIGNALS,MARKET SIGNALS
Ông chủ Nvidia lên tiếng về tin đồn 'nghỉ chơi' với OpenAI - Vietpress.vn,NOISE,NOISE,NOISE,NOISE
Mô hình AI ChatGPT sắp bị khai tử - Tạp chí Saostar,MARKET SIGNALS,MARKET SIGNALS,MARKET SIGNALS,MARKET SIGNALS
Thương vụ Nvidia rót 100 tỷ USD vào OpenAI có nguy cơ đổ vỡ - TẠP CHÍ ĐIỆN TỬ VIETTIMES,MARKET SIGNALS,MARKET SIGNALS,MARKET SIGNALS,MARKET SIGNALS
"OpenAI xóa sổ GPT-4o, người dùng phẫn nộ đòi hủy gói trả phí - Thanh Niên",MARKET SIGNALS,MARKET SIGNALS,MARKET SIGNALS,MARKET SIGNALS
OpenAI đàm phán nhằm huy động 40 tỷ USD từ các đối tác hạ tầng lớn - baotintuc.vn,MARKET SIGNALS,MARKET SIGNALS,MARKET SIGNALS,MARKET SIGNALS
"Google chia lại tài nguyên Gemini, gói miễn phí vẫn bị giới hạn - Thanh Niên",MARKET SIGNALS,MARKET SIGNALS,MARKET SIGNALS,MARKET SIGNALS
Thương vụ 100 tỷ USD giữa NVIDIA và OpenAI đổ vỡ: Rạn nứt trong đế chế AI - CafeF,MARKET SIGNALS,MARKET SIGNALS,MARKET SIGNALS,MARKET SIGNALS
OpenAI âm thầm ra mắt ChatGPT Translate - Thanh Niên,SOLUTIONS & USE CASES,SOLUTIONS & USE CASES,SOLUTIONS & USE CASES,SOLUTIONS & USE CASES
OpenAI sẽ loại bỏ một số mô hình khỏi ChatGPT vào tháng tới - Minh Tuấn Mobile,MARKET SIGNALS,MARKET SIGNALS,MARKET SIGNALS,MARKET SIGNALS
Lãnh đạo an ninh mạng Mỹ tải tài liệu nhạy cảm lên ChatGPT - Thanh Niên,MARKET SIGNALS,MARKET SIGNALS,MARKET SIGNALS,MARKET SIGNALS
ChatGPT thử nghiệm hiển thị quảng cáo - VnExpress,MARKET SIGNALS,MARKET SIGNALS,MARKET SIGNALS,MARKET SIGNALS
"Thương vụ 100 tỷ USD bất thành: NVIDIA điều chỉnh danh mục đầu tư, OpenAI tìm kiếm nguồn vốn mới - Báo Pháp luật Việt Nam",MARKET SIGNALS,MARKET SIGNALS,MARKET SIGNALS,MARKET SIGNALS
ChatGPT tạo ảnh cách con người đối xử với AI: Trào lưu khiến nhiều người bất ngờ - CafeF,NOISE,MARKET SIGNALS,MARKET SIGNALS,MARKET SIGNALS
Cựu HLV tuyển Tây Ban Nha bị tố lạm dụng ChatGPT - VnExpress,SOLUTIONS & USE CASES,MARKET SIGNALS,MARKET SIGNALS,MARKET SIGNALS
"ChatGPT hiển thị quảng cáo, người dùng trả 8 USD/tháng cũng vẫn phải xem - Genk",MARKET SIGNALS,MARKET SIGNALS,MARKET SIGNALS,MARKET SIGNALS
OpenAI sẽ khai tử GPT-4o cùng loạt mô hình cũ - GenZ Việt,MARKET SIGNALS,MARKET SIGNALS,MARKET SIGNALS,MARKET SIGNALS
"Nvidia, Amazon, Microsoft đàm phán để đầu tư tới 60 tỷ USD vào OpenAI - CafeF",MARKET SIGNALS,MARKET SIGNALS,MARKET SIGNALS,MARKET SIGNALS
CEO Nvidia nói về mối quan hệ với OpenAI - Znews,MARKET SIGNALS,MARKET SIGNALS,MARKET SIGNALS,MARKET SIGNALS
"Kling - AI Trung Quốc thách thức OpenAI Sora, Google Veo - VnExpress",MARKET SIGNALS,MARKET SIGNALS,MARKET SIGNALS,MARKET SIGNALS
Google Maps chấm dứt cảnh “vừa đi vừa bấm” với trợ lý AI Gemini - Tạp chí Doanh nghiệp và Hội nhập,MARKET SIGNALS,MARKET SIGNALS,MARKET SIGNALS,MARKET SIGNALS
SoftBank Group đặt cược lớn vào OpenAI với khoản đầu tư 30 tỷ USD - bnews.vn,NOISE,MARKET SIGNALS,MARKET SIGNALS,MARKET SIGNALS
"Apple chọn tích hợp Gemini, Elon Musk phản ứng - VnExpress",MARKET SIGNALS,MARKET SIGNALS,MARKET SIGNALS,MARKET SIGNALS
ChatGPT trích dẫn câu trả lời từ Grokipedia của Musk - VnExpress,MARKET SIGNALS,MARKET SIGNALS,MARKET SIGNALS,MARKET SIGNALS
"ChatGPT bắt đầu chèn quảng cáo, OpenAI cam kết 'né' chủ đề nhạy cảm - Tuổi Trẻ",MARKET SIGNALS,MARKET SIGNALS,MARKET SIGNALS,MARKET SIGNALS
Những điểm gây khó chịu khi sử dụng Google Gemini - Thanh Niên,SOLUTIONS & USE CASES,MARKET SIGNALS,MARKET SIGNALS,MARKET SIGNALS
Google Gemini tung tính năng 'gia sư' mới đáng giá cho sinh viên - Baotayninh.vn,SOLUTIONS & USE CASES,MARKET SIGNALS,MARKET SIGNALS,MARKET SIGNALS
So sánh Gemini vs ChatGPT: Nên sử dụng chatbox nào - Thegioididong.com,SOLUTIONS & USE CASES,SOLUTIONS & USE CASES,SOLUTIONS & USE CASES,SOLUTIONS & USE CASES
Cuộc đua giành “ngôi vương” trên thị trường chatbot AI ngày càng gay cấn - Báo Dân trí,MARKET SIGNALS,MARKET SIGNALS,MARKET SIGNALS,MARKET SIGNALS
Người dùng ChatGPT miễn phí bị 'ép' dùng mô hình rẻ tiền nhất - Thanh Niên,MARKET SIGNALS,MARKET SIGNALS,MARKET SIGNALS,MARKET SIGNALS
Gemini 3 xuất hiện với loạt nâng cấp khiến giới AI dậy sóng - VOV,MARKET SIGNALS,MARKET SIGNALS,MARKET SIGNALS,MARKET SIGNALS
"Google nâng cấp AI Overviews với Gemini 3, hỗ trợ hội thoại liền mạch trên Search - MMOSITE.vn",MARKET SIGNALS,SOLUTIONS & USE CASES,MARKET SIGNALS,MARKET SIGNALS
Hơn 40 triệu người dùng ChatGPT để 'khám bệnh' mỗi ngày - Thanh Niên,MARKET SIGNALS,MARKET SIGNALS,MARKET SIGNALS,MARKET SIGNALS
ChatGPT bị kiện góp phần gây ra các vụ tự tử và hoang tưởng - Thanh Niên,MARKET SIGNALS,MARKET SIGNALS,MARKET SIGNALS,MARKET SIGNALS
"Tin “ảo giác” ChatGPT, người đàn ông tái phát loạn thần - Báo Tri thức và Cuộc sống",NOISE,MARKET SIGNALS,MARKET SIGNALS,MARKET SIGNALS
3 cách giúp ChatGPT trả lời chính xác hơn - Thanh Niên,SOLUTIONS & USE CASES,SOLUTIONS & USE CASES,SOLUTIONS & USE CASES,MARKET SIGNALS
Google ra Gemini 3 - mô hình AI có khả năng đọc hiểu tình huống - VnExpress,MARKET SIGNALS,MARKET SIGNALS,MARKET SIGNALS,MARKET SIGNALS
"ChatGPT cũng 'khoe' Wrapped, nhìn lại một năm bạn dùng AI - Tuổi Trẻ",MARKET SIGNALS,MARKET SIGNALS,MARKET SIGNALS,MARKET SIGNALS
"Google ra Gemini 3 Flash tốc độ nhanh, chi phí rẻ - VnExpress",MARKET SIGNALS,MARKET SIGNALS,MARKET SIGNALS,MARKET SIGNALS
Siêu thỏa thuận 100 tỷ USD giữa NVIDIA và OpenAI đổ vỡ - Vietpress.vn,NOISE,NOISE,NOISE,NOISE
"Nhiều người trẻ tự tử nghi do ChatGPT xúi giục, OpenAI bị kiện hàng loạt - Tuổi Trẻ",MARKET SIGNALS,MARKET SIGNALS,MARKET SIGNALS,MARKET SIGNALS
"Google khiến OpenAI bật ""Báo động Đỏ"", khi ChatGPT mất 12 triệu người dùng từ lúc Gemini 3 ra mắt - CafeF",MARKET SIGNALS,MARKET SIGNALS,MARKET SIGNALS,MARKET SIGNALS
"Đối thủ liên tục nâng cấp các mô hình AI, OpenAI ngày càng gặp áp lực cạnh tranh lớn - VnEconomy",MARKET SIGNALS,MARKET SIGNALS,MARKET SIGNALS,MARKET SIGNALS
"Sự thật việc Apple chọn Google Gemini thay vì ChatGPT: Hóa ra là bị OpenAI nói ""Không"" - CafeF",MARKET SIGNALS,MARKET SIGNALS,MARKET SIGNALS,MARKET SIGNALS
Gemini 3 Pro và Nano Banana Pro đồng loạt 'bóp' tính năng - Thanh Niên,MARKET SIGNALS,MARKET SIGNALS,MARKET SIGNALS,MARKET SIGNALS
ChatGPT đạt điểm tuyệt đối 9/15 môn trong kỳ thi đầu vào đại học Nhật Bản - Tuổi Trẻ,MARKET SIGNALS,MARKET SIGNALS,MARKET SIGNALS,MARKET SIGNALS
